X,Y,PrimaryCarePtOBJECTID,PrimaryCarePtNAME,PrimaryCarePtADDRESS,PrimaryCarePtCITY,PrimaryCarePtSTATE,PrimaryCarePtZIP,PrimaryCarePtWARD,PrimaryCarePtPHONE,PrimaryCarePtFAX,PrimaryCarePtCT_HPSA,PrimaryCarePtMEDICALDIR,PrimaryCarePtCHARGENURS,PrimaryCarePtADMINISTRA,PrimaryCarePtWEB_URL,PrimaryCarePtMAR_CENSUS,PrimaryCarePtSEE_PATIENTS_WHO_CANT_PAY,PrimaryCarePtPOPULATION_SERVED,PrimaryCarePtWALKIN_UNSCHEDULED,PrimaryCarePtINSURANCE_ACCEPTED,PrimaryCarePtADDRID,PrimaryCarePtXCOORD,PrimaryCarePtYCOORD,PrimaryCarePtLAST_MODIFIED_DATE,PrimaryCarePtLAST_MODIFIED_USER,PrimaryCarePtLAST_MODIFIED_ACTION,PrimaryCarePtGIS_ID,PrimaryCarePtZIP_1,DCGISPRIMARY_CARE_INFOOBJECTID_1,DCGISPRIMARY_CARE_INFOADDRID,DCGISPRIMARY_CARE_INFOOPEN_TO_PUBLIC,DCGISPRIMARY_CARE_INFOLIMITED_ACCESS,DCGISPRIMARY_CARE_INFOTREATMENT_FOR_ALL,DCGISPRIMARY_CARE_INFOPUBLIC_INSURANCE,DCGISPRIMARY_CARE_INFOMEDICAID,DCGISPRIMARY_CARE_INFOMEDICARE,DCGISPRIMARY_CARE_INFOPRIVATE_EMPLOYER_INSURANCE,DCGISPRIMARY_CARE_INFOPRIVATE_INSURANCE,DCGISPRIMARY_CARE_INFOSLIDING_SCALE,DCGISPRIMARY_CARE_INFOFACILITY_SETTING,DCGISPRIMARY_CARE_INFOFACILITY_TYPE,DCGISPRIMARY_CARE_INFOPRACTICE_TYPE,DCGISPRIMARY_CARE_INFOYESNO_,DCGISPRIMARY_CARE_INFOHR_CONTACT,DCGISPRIMARY_CARE_INFOHR_PHONE,DCGISPRIMARY_CARE_INFOHR_EMAIL,DCGISPRIMARY_CARE_INFOPUBLIC_SERVICES,DCGISPRIMARY_CARE_INFOPOP_SERVED,DCGISPRIMARY_CARE_INFOCHILD_SPECIAL_NEEDS,DCGISPRIMARY_CARE_INFOELDERLY,DCGISPRIMARY_CARE_INFOHIV,DCGISPRIMARY_CARE_INFOHOMELESS,DCGISPRIMARY_CARE_INFOLBGT,DCGISPRIMARY_CARE_INFOINTEL_DISABLED,DCGISPRIMARY_CARE_INFOLANGUAGE_LIMITED,DCGISPRIMARY_CARE_INFOOTHER_SPECIAL_POP,DCGISPRIMARY_CARE_INFOPHYSICALLY_DISABLED,DCGISPRIMARY_CARE_INFOMENTAL_ILLNESS,DCGISPRIMARY_CARE_INFOABILITY_TO_PAY,DCGISPRIMARY_CARE_INFOINSURANCE_ALLIANCE,DCGISPRIMARY_CARE_INFOPRIVATE_PLANS,DCGISPRIMARY_CARE_INFOEXCLUDED_PLANS,DCGISPRIMARY_CARE_INFOPRACTICE_SETTING,DCGISPRIMARY_CARE_INFOHOSPITAL_AFFILIATION,DCGISPRIMARY_CARE_INFOCARDIOLOGY,DCGISPRIMARY_CARE_INFODERMATOLOGY,DCGISPRIMARY_CARE_INFOENDOCRINOLOGY,DCGISPRIMARY_CARE_INFOGASTROENTEROLOGY,DCGISPRIMARY_CARE_INFOGENERAL_SURGERY,DCGISPRIMARY_CARE_INFOHIV_AIDS,DCGISPRIMARY_CARE_INFOINFECTIOUS_DISEASE,DCGISPRIMARY_CARE_INFONEPHROLOGY,DCGISPRIMARY_CARE_INFONEUROLOGY,DCGISPRIMARY_CARE_INFOOBSTETRICS,DCGISPRIMARY_CARE_INFOONCOLOGY,DCGISPRIMARY_CARE_INFOOPTHALMOLOGY,DCGISPRIMARY_CARE_INFOORAL_SURGERY,DCGISPRIMARY_CARE_INFOOTHER_SPECIALTY,DCGISPRIMARY_CARE_INFOORTHOPEDIC,DCGISPRIMARY_CARE_INFOGASTRO_ENT,DCGISPRIMARY_CARE_INFOPEDIATRICS,DCGISPRIMARY_CARE_INFOPODIATRY,DCGISPRIMARY_CARE_INFOPRIMARY_CARE,DCGISPRIMARY_CARE_INFOPSYCHIATRY,DCGISPRIMARY_CARE_INFOPULMONARY_MEDICINE,DCGISPRIMARY_CARE_INFOREPRODUCTIVE_HEALTH,DCGISPRIMARY_CARE_INFORHEUMATOLOGY,DCGISPRIMARY_CARE_INFOSTI_TEST_TREAT,DCGISPRIMARY_CARE_INFOUROLOGY,DCGISPRIMARY_CARE_INFODENTISTRY,DCGISPRIMARY_CARE_INFOHEALTH_NUTR_ED,DCGISPRIMARY_CARE_INFOMENTAL_HEALTH,DCGISPRIMARY_CARE_INFOPHARMACY,DCGISPRIMARY_CARE_INFOOTHER_SERVICES,DCGISPRIMARY_CARE_INFOWIC,DCGISPRIMARY_CARE_INFOSOCIAL_SERVICES,DCGISPRIMARY_CARE_INFOCHILDCARE,DCGISPRIMARY_CARE_INFOINSURANCE_SCREEN,DCGISPRIMARY_CARE_INFOINSURANCE_OTHER,DCGISPRIMARY_CARE_INFOACCEPT_NEW_PT,DCGISPRIMARY_CARE_INFOSCHEDULE_APPT_PHONE,DCGISPRIMARY_CARE_INFOSCHEDULE_APPT_EMAIL,DCGISPRIMARY_CARE_INFOSCHEDULE_APPT_WEB,DCGISPRIMARY_CARE_INFOOPEN_ACCESS_SCHEDULE,DCGISPRIMARY_CARE_INFOOPEN_ACCESS_TIME,DCGISPRIMARY_CARE_INFOHOURS_MONDAY,DCGISPRIMARY_CARE_INFOHOURS_TUESDAY,DCGISPRIMARY_CARE_INFOHOURS_WEDNESDAY,DCGISPRIMARY_CARE_INFOHOURS_THURSDAY,DCGISPRIMARY_CARE_INFOHOURS_FRIDAY,DCGISPRIMARY_CARE_INFOHOURS_SATURDAY,DCGISPRIMARY_CARE_INFOHOURS_SUNDAY,DCGISPRIMARY_CARE_INFOENGLISH,DCGISPRIMARY_CARE_INFOSPANISH,DCGISPRIMARY_CARE_INFOVIETNAMESE,DCGISPRIMARY_CARE_INFOKOREAN,DCGISPRIMARY_CARE_INFOAMHARIC,DCGISPRIMARY_CARE_INFOCHINESE_TRADITIONAL,DCGISPRIMARY_CARE_INFOFRENCH,DCGISPRIMARY_CARE_INFOASL,DCGISPRIMARY_CARE_INFOOTHER_LANGUAGE,DCGISPRIMARY_CARE_INFOFACILITY_AFFILIATION,DCGISPRIMARY_CARE_INFOGIS_ID,DCGISPRIMARY_CARE_INFOEVENING_HOURS,DCGISPRIMARY_CARE_INFOMEDICAL_SERVICES_AVAILABLE,DCGISPRIMARY_CARE_INFOQUADRANT,DCGISPRIMARY_CARE_INFOANC,DCGISPRIMARY_CARE_INFOWEEKEND_HOURS,DCGISPRIMARY_CARE_INFOOBJECTID
-76.9893549498708,38.9216876682283,11,Unity - Brentwood Health Center,1251 SARATOGA AVENUE NE,WASHINGTON,DC,20018,5,202-469-4699, , , , , ,http://www.unityhealthcare.org/HealthCenters/ServiceBrentwood.html,9102, , ,Yes, ,69666,400923.31,139312,2016/02/12 00:00:00+00,Eva.Stern,UPDATE,PC_31,20018,3,149821,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes,Community Health Center-FQHC,Private Non-Profit, ,,Provider Specialist or Human Resources,202-715-7900,Aalleyne@Unityhealthcare.org,Yes,All,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes - Deaf,Yes,Yes,Yes,Yes,"United Healthcare, BCBS (most)",HMOs,"Community Health Center, FQHC", , , , , , , , , , ,Yes, , , , , , ,Yes,Yes,Yes,Yes, ,Yes, , , , ,Yes, , ,Health Ed/Nutrition, ,Yes, , , ,Yes,"Yes, by phone", , ,Yes,"M-F 7:45 a.m. -11 a.m.; M & TH 5-8 PM",7:45 AM - 8:00 PM,7:45 AM - 4:45 PM,7:45 AM - 4:45 PM,7:45 AM - 8:00 PM,7:45 AM - 4:45 PM, , ,Yes,Yes, , , , , , ,Language-Line available, ,PC_31,Yes,"Obstetrics, Pediatrics, Podiatry, Primary Care, Psychaitry, Reproductive Health, STI Test/Treatment",NE,5C,,
-77.0398084009067,38.9209801636915,12,Mary's Center - Adams Morgan,2333 ONTARIO ROAD NW,WASHINGTON,DC,20009,1,202-483-8196, , , , , ,http://www.maryscenter.org,003800, , ,Other - Modified open access, ,284370,396548.08,139234.16,1970/01/01 00:00:00+00,,,PC_17,20009,31,284370,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes,Community Health Center-FQHC,Private Non-Profit, ,,Andreina Pradas,202-420-7112/7141/7042,apradas@maryscenter.org,Yes,All,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes-Immigrant,Yes,Yes,Yes,Yes,See Worksheet, ,Community Health Center-FQHC, , , , , , , , , , ,Yes, , , , , , ,Yes, ,Yes,Yes, ,Yes, ,Yes, ,Yes,Yes,Yes, ,"Dental, Health Ed/Nutrition, Mental Health, WIC, Adult & Child Literacy",Yes,Yes, ,Yes, ,Yes,"Yes, by phone", , ,Other - Modified open access,M-F 8:00 -11:00 AM and 1-3:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM, ,Yes,Yes,Yes, ,Yes, ,Yes,Yes,"Armenian, Bamilek, Bosnia, Croatian, Danish, English Creole, Fulani (W. Africa), German, Haitian Creole, Hindi, Ibibio, Krio, Nepali, Portuguese, Shangana, Swahili & Twi",Yes - added,PC_17,No,"Obstetrics, Pediatrics, Primary Care, Psychaitry, Reproductive Health, STI Test/Treatment",NW,1C,,
-77.0273347272592,38.9198931092237,13,Children's Health Center - Shaw/Comp Clinic,2220 11TH STREET NW,WASHINGTON,DC,20001,1,202-476-5500, , , , , ,http://www.childrensnational.org/,004400, , ,Yes, ,238963,397629.74,139113.09,1970/01/01 00:00:00+00,,,PC_07,20001,28,238963,No,Children and Adolescents,Yes,Yes,Yes, ,"Yes, please call","Yes, please call",Yes, ,Private Non-Profit, ,, , , ,No,Children and Adolescents,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , , , ,Hospital-Affiliated Clinic, , , , , , , , , , , , , , , , ,Yes, ,Yes, , , , , , , ,Yes,Yes, ,"Health Ed/Nutrition, Mental Health, WIC",Yes, , ,Yes, ,Yes,"Yes, by phone", ,www.childrensnational.org/RequestAppointment/,Yes,during clinic hours,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM, , ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , ,PC_07,No,"Pediatrics, Primary Care",NW,1B,,
-77.0404765343706,38.9193430308698,14,Community of Hope - Marie Reed Health Center,2155 CHAMPLAIN STREET NW,WASHINGTON,DC,20009,1,202-232-9022, , , , , ,http://www.communityofhopedc.org/,003800, , ,Yes -call, ,316200,396489.2,139058.25,1970/01/01 00:00:00+00,,,PC_11,20009,32,303241,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes,FQHC,Private Non-Profit, ,,Charla Everhart Lum,202-407-7749,clum@cohdc.org,Yes,All,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Carefirst/Aetna/Cigna, ,FQHC, , , , , , ,Yes, , , ,Yes, , , , , , ,Yes, ,Yes,Yes, ,Yes, ,Yes, ,Yes,Yes,Yes, ,"Dental, Health Ed/Nutrition, Mental Health", ,Yes, ,Yes, ,Yes,"Yes, by phone",info.cohdc.org,Yes,"Yes, limited",(didn't list),8:30AM to 5:00 PM,8:30 AM to 8:00 PM,8:30 AM to 8:00 PM,8:30AM to 5:00 PM,8:30AM to 5:00 PM,No,No,Yes,Yes,Via translation line,Via translation line,Via translation line,Via translation line,Via translation line, ,Translation for all others,Yes - added,PC_11,Yes,"HIV/AIDS Care, Obstetrics, Pediatrics, Primary Care, Psychiatry, Reproductive Health, STI Test/Treatment",NW,1C,,
-77.0216190951033,38.9188417733895,15,Howard University Hospital Family Health Center,2139 GEORGIA AVENUE NW,WASHINGTON,DC,20001,1,202-865-3250, , , , , ,http://www.huhealthcare.com/healthcare/hospital/departments/community-family,003400, , ,Yes, ,291573,398125.37,138996.25,1970/01/01 00:00:00+00,,,PC_14,20001,27,291573,Yes, , ,Yes,Yes,Yes,"Yes, please call","Yes, please call", , , , ,, , , ,Yes,All, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes-Refugees & Asylees,Yes, , ,Yes,"BC/BS, Cigna Commercial, Commercial Managed Care", , ,Hospital-Affiliated Clinic, , , , , , , , , , , , , , , , , , ,Yes, , , , , , , , , , ,None, , , , , ,Yes,"Yes, by phone", , ,Yes,Times vary.,8:00 AM - 5:30 PM,8:00 AM - 5:30 PM,1:00 PM - 5:30 PM,8:00 AM - 5:30 PM,8:00 AM - 5:30 PM, , ,Yes,Yes,Yes, ,Yes,Yes, , ,Cyracom Telephone Onsite, ,PC_14,No,Primary Care,NW,1B,,
-76.9741716263651,38.9178489223054,16,Unity - Harbor Light Health Center,2100 NEW YORK AVENUE NE,WASHINGTON,DC,20002,5,202-508-0500, , , , , ,http://www.unityhealthcare.org/HealthCenters/ServiceHarbor.html,011100, , ,Yes, ,286616,402240.09,138886.13,1970/01/01 00:00:00+00,,,PC_41,20002,16,286616,Yes, , ,Yes,Yes,Yes,Please call,Please call,Yes,Community Health Center-FQHC,Private Non-Profit, ,,Provider Specialist or Human Resources,202-715-7900,Aalleyne@Unityhealthcare.org,Yes,All, ,Yes,Yes,Yes,Yes,Yes, , ,Yes,Yes,Yes, , , ,Community Health Center - FQHC, , , , , ,Yes, , , , , , , ,Yes, , , , , ,Yes,Yes, ,Yes, ,Yes, ,Yes, ,Yes, ,"Dental, Mental Health", ,Yes, , , ,Yes,"Yes, by phone", , ,Yes,varies,1:00 PM - 4:30 PM, ,1:00 PM - 4:30 PM, , , , ,Yes,Yes, , , , , , , , ,PC_41,No,"General Surgery, Oral Surgery, Primary Care, Psychiatry, Reproductive Health, STI Testing",NE,5C,,
-76.9858317141638,38.9150757203169,17,Unity - New York Avenue Homeless Shelter,1355 NEW YORK AVENUE NE,WASHINGTON,DC,20002,5,202-508-0500, , , , , ,http://www.unityhealthcare.org/HealthCenters/ServiceNewYork.html,008803, , ,Yes, ,66060,401228.95,138578.06,1970/01/01 00:00:00+00,,,PC_45,20002,17,66060,Yes, ,Yes,Yes,Yes,Yes,Please call,Please call,Yes,Community Health Center-FQHC,Private Non-Profit, ,,Provider Specialist or Human Resources,202-715-7900,aalleyne@Unityhealthcare.org,Yes,All, ,Yes,Yes,Yes,Yes,Yes, , ,Yes,Yes,Yes, , , ,Community Health Center-FQHC, , , , , ,Yes, , , , , , , ,Yes, , , , , ,Yes,Yes, ,Yes, ,Yes, ,Yes, ,Yes, ,"Dental, Mental Health", ,Yes, , , ,Yes,"Yes, by phone", , ,Yes,varies,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM, , ,Yes,Yes, , , , , , , , ,PC_45,Yes,"General Surgery, Oral Surgery, Primary Care, Psychiatry, Reproductive Health, STI Testing",NE,5D,,
-77.0752842644565,38.9122110044859,18,Georgetown Hospital's Physicians Group,3800 RESERVOIR ROAD NW,WASHINGTON,DC,20057,2,202-342-2400, , , , , ,http://www.georgetownuniversityhospital.org,000201, , ,No, ,291547,393470.87,138262.65,1970/01/01 00:00:00+00,,,PC_13,20057,7,291547,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes, ,Private Non-Profit, ,, , , ,Yes,All,Yes,Yes, ,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes, ,See Worksheet, , ,Hospital-Affiliated Clinic,Yes, ,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes, , , ,Yes,Pharmacy, , , , , ,Yes,"Yes, by phone", , ,No, ,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM, , ,Yes,Yes, , , , ,Yes,Yes,"Arabic, Portuguese", ,PC_13,No,"Cardiology, Endocrinology, Gastroenterology, HIV/AIDS Care, Infectious Disease, Nephrology, Neurology, Obstetrics, Oncology, Oral Surgery, Orthopedic, Pediatrics, Podiatry, Primary Care, Psychiatry, Pulmonary, Reproductive Health, Rheumatology, Urology",NW,2E,,
-77.0316340755093,38.9104828174151,19,Whitman Walker - 1525 Medical Center,1525 14TH STREET NW,WASHINGTON,DC,20005,2,202-745-7000,,,,,,http://www.whitman-walker.org,005001,,,,,300332,397256.54,138068.59,2016/02/12 00:00:00+00,Eva.Stern,ADD,PC_56,20005,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC_56,,,NE,5C,,
-77.0216272404835,38.9103394334506,20,Bread for the City,1525 7TH STREET NW,WASHINGTON,DC,20001,6,202-386-7020, , , , , ,http://www.breadforthecity.org/,004801, , ,Yes -some, ,297622,398124.44,138052.42,1970/01/01 00:00:00+00,,,PC_02,20001,12,297622,No,"Only Medicaid, Alliance & Uninsured DC residents",Yes,Yes,Yes,Yes,No,No,No fees,Community Health Center - FREE Clinic,Private Non-Profit, ,, , , ,No,"Only Medicaid, Alliance & Uninsured DC residents",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Everyone,Yes,Yes,Yes,Alliance,NONE,All Private Insurance Not accepted,Community Health Center - FREE Clinic, , , , , , , , , , , , , , ,Dental, , ,Yes, ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"Dental, Health Ed/Nutrition", ,Yes, ,Yes, ,Yes - few per day,"Yes, by phone", , ,"Yes, limited",Same day and Next Day Only for New & returning patients.,9:00 AM- 4:00 PM,9:00 AM - 3:00 PM - & 5:00 - 6:30 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 12 NOON, , ,Yes,Yes,Via Language Line,Via Language Line,Via Language Line,Via Language Line,Via Language Line, ,Interpreter available for any languages, ,PC_02,No,"Pediatrics, Primary Care, Reproductive Health, STI Testing",NW,6E,,
-77.0111029141157,38.9082495302713,21,S.O.M.E (So Others Might Eat),60 O STREET NW,WASHINGTON,DC,20001,5,202-797-8806, , , , , ,http://www.some.org/,004600, , ,Yes, ,236940,399037.2,137820.26,1970/01/01 00:00:00+00,,,PC_26,20001,13,236940,No,Homeless and under-served,Yes,Yes,Yes,Yes,No,No,Yes,Community Health Center,Private Non-Profit, ,,Carolyn Penn,202-797-8806,cpenn@some.org,No,Homeless-under-served, ,Yes, ,Yes,Yes, , , , ,Yes,Yes,Yes,N/A, ,Community Health Center, , , , , , , , , , , , , ,Yes,Opthalmology, , , , ,Yes,Yes, , , , , ,Yes, ,Yes, ,"Dental, Mental Health", ,Yes, , , ,Yes,"Yes, by phone", , ,Yes,Monday -Friday  8:00 AM - 2:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 12 Noon,8:00 AM - 12 Noon, , ,Yes,Yes, , , , , , , , ,PC_26,No,"Opthalmology, Oral Surgery, Primary Care, Psychiatry",NW,5E,,
-77.031427907344,38.9075735375839,22,Unity - N Street Village Health Center,1333 N STREET NW,WASHINGTON,DC,20005,2,202-508-0500, , , , , ,http://www.unityhealthcare.org/HealthCenters/ServiceNStreet.html,005002, , ,Yes, ,298405,397274.31,137745.63,1970/01/01 00:00:00+00,,,PC_44,20005,20,298405,Yes, ,Yes,Yes,Yes,Yes,Please call,Please call,Yes,Community Health Center-FQHC,Private Non-Profit, ,,Provider Specialist or Human Resources,202-715-7900,Aalleyne@Unityhealthcare.org,Yes,All, ,Yes,Yes,Yes,Yes,Yes, , ,Yes,Yes,Yes, , , ,Community Health Center - FQHC, , , , , ,Yes, , , , , , , ,Yes, , , , , ,Yes,Yes, ,Yes, ,Yes, ,Yes, ,Yes, ,Dental, ,Yes, , , ,Yes,"Yes, by phone", , ,Yes,varies, ,8:00 AM - 12 Noon, ,8:00 AM - 12 Noon, , , ,Yes,Yes, , , , , , , , ,PC_44,No,"General Surgery, Oral Surgery, Primary Care, Psychiatry, Reproductive Health, STI Testing",NW,2F,,
-77.0002589242985,38.9063237124886,23,Planned Parenthood - Carol Whitehill Moses Center,1225 4TH STREET NE,WASHINGTON,DC,20002,6,202-347-8500 ,,,,,,https://www.plannedparenthood.org,10600,,,,,70908,399977.74,137606.42,2016/10/05 00:00:00+00,Eva.Stern,ADD,PC_57,20002,52,70908,Yes,,Yes,Yes,Yes,<Null>,"Yes, please call","Yes, please call",Yes,Other - Planned Parenthood,Private Non-Profit,,,Renee McRae,202-347-8500 ext. 7232,renee.mcraw@ppmw.org,Yes,All,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,See Worksheet,,Other - Planned Parenthood,,,,,,,,,,,,,,,,,,,,Limited,,,Family Planning,,STI Testing,,,Yes,,Yes,"Medical: Primary Care (Limited), Reproductive Health, STI Test/Treatment;
Other: Health Ed/Nutrition, Pharmacy
Medical: Primary Care (Limited), Reproductive Health, STI Test/Treatment;
Other: Health Ed/Nutrition, Pharmacy",,,,,,Yes,"Yes, by phone",,,Yes,,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,,,,Yes,Yes,,,,,,,,,PC_57,"Yes, limited","Primary Care (Limited), Reproductive Health, STI Test/Treatment",NE,6C,,
-77.0133530574804,38.9053873421559,24,Providence Hospital's Perry Family Health Center,128 M STREET NW,WASHINGTON,DC,20001,6,202-682-3840, , , , , ,http://www.provhosp.org/Facilities/PerryFam.htm,004701, , ,Yes, ,279016,398841.99,137502.56,1970/01/01 00:00:00+00,,,PC_25,20001,11,279016,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes, ,Private Non-Profit, ,, , , ,Yes,All,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,See Worksheet, , ,Hospital-Affiliated Clinic, , , , , , , , , , , , , , , , ,Yes, ,Yes,Yes, ,Yes, , , , ,Yes,Yes, ,"Health Ed/Nutrition, Mental Health", , , , , ,Yes,"Yes, by phone", , ,Yes, ,8:00 AM - 5:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,9:00 AM - 2:30 PM, , ,Yes, , , , , , , , ,PC_25,Yes,"Pediatrics, Primary Care, Psychiatry, Reproductive Health",NW,6E,,
-77.0323972755342,38.9032026005106,25,MetroHealth,1012 14TH STREET NW,WASHINGTON,DC,20005,2,202-638-0750, , , , , ,https://metrohealthdc.org/,010100, , ,varies - 2 am and 2 pm slots per day, ,240262,397190.06,137260.45,1970/01/01 00:00:00+00,,,PC_03,20005,21,240262,Yes, ,Yes,Yes,Yes,Pending,"Yes, please call","Yes, please call",Yes,Community Health Center,Private Non-Profit, ,, , , ,Yes,All, ,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,See Worksheet, ,Community Health Center, , , , , , ,Yes,Yes, , , , , , ,Family Medicine, , , , ,Yes, , ,Yes - Limited, ,Yes, , ,Yes,Yes, ,"Health Ed/Nutrition, Mental Health", ,Yes, ,Yes, ,Yes,"Yes, by phone", , ,"Yes, limited",varies,8:00 AM- 8:00 PM,8:00 AM - 5:00 PM,9:00 AM to 8:00 PM,8:00 AM - 3:00 PM,8:00 AM - 1:00 PM, , ,Yes,Yes, , , , ,French,Limited, , ,PC_03,Yes,"Family Medicine, HIV/AIDS Care, Infections Disease, Primary Care, Reproductive Health, STI Test/Treatment",NW,2F,,
-76.9782263108021,38.9008171290714,26,Community of Hope - Family Health & Birth,801 17TH STREET NE,WASHINGTON,DC,20002,5,202-398-5520, , , , , ,http://www.communityofhopedc.org/,008904, , ,Yes -call, ,288960,401888.91,136995.37,1970/01/01 00:00:00+00,,,PC_10,20002,18,288960,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes,FQHC,Private Non-Profit, ,,Charla Everhart Lum,202-407-7749,clum@cohdc.org,Yes,All,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Carefirst/Aetna/Cigna, ,FQHC, , , , , , ,Yes, , , ,Yes, , , , , , ,Yes, ,Yes,Yes, ,Yes, ,Yes, ,Yes,Yes,Yes, ,"Dental, Health Ed/Nutrition, Mental Health", ,Yes, ,Yes, ,Yes,"Yes, by phone", , ,"Yes, limited",(didn't list),9:00 AM - 5:00 PM,9:00 AM - 7:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 4:00 PM,No,No,Yes,Yes,Via translation line line,Via translation line,Via translation line,Via translation line,Via translation line, ,Translation for all others, ,PC_10,Yes,"HIV/AIDS, Obstetrics, Pediatrics, Primary Care, Psychiatry, Reproductive Health, STI Test/Treatment",NE,5D,,
-76.9474648673082,38.900428184523,27,Unity - Parkside Health Center,765 KENILWORTH TERRACE NE,WASHINGTON,DC,20019,7,202-469-4699,,,,,,"http://www.unityhealthcare.org/HealthCenters/ServiceParkside.html
",009602,,,,,310407,404557.27,136953.28,1970/01/01 00:00:00+00,,,PC_55,20019,40,310407,Yes,No,Yes,Yes ,Yes ,Yes ,Yes ,"Yes, except Kaiser",Yes ,Community Health Center-FQHC,Non-Profit ,,,,,,Yes ,All ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,"Medicaid, Medicare, AmeriHealth, MedStar Family Choice, Trusted Health Plan ",Kaiser ,,,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,N/A ,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,"Yes, Behavioral ",No,"Primary Care, Pediatrics, Reproductive Health, Psychiatry, Podiatry, Obstetrics, Dental, Social Services, Health Ed./Nutrition, HIV/AIDS Care, Mental Health, Dermatology, Orthopedic, Opthalmology ",,Yes,,,,,,,,Yes,,8:15am-4:45pm ,8:15am-4:45pm ,8:15am-4:45pm ,8:15am-4:45pm ,8:15am-4:45pm ,No,No,Yes,,,,,,,,Interpreter service provided ,,PC_55,No,"Primary Care, Pediatrics, Reproductive Health, Psychiatry, Podiatry, Obstetrics, Dental, Social Services, Health Ed./Nutrition, HIV/AIDS Care, Mental Health, Dermatology, Orthopedic, Opthalmology ",NE,7D,No,
